"id_keyb","key_name","position","event","input","timestamp","epoch"
"1","8","Numpad8","keydown","1","2023-12-22 14:04:26:000064","1703264666064"
"2","8","Numpad8","keyup","1","2023-12-22 14:04:26:000160","1703264666160"
"3","5","Numpad5","keydown","1","2023-12-22 14:04:26:000376","1703264666376"
"4","5","Numpad5","keyup","1","2023-12-22 14:04:26:000478","1703264666478"
"5","9","Numpad9","keydown","1","2023-12-22 14:04:27:000664","1703264667664"
"6","9","Numpad9","keyup","1","2023-12-22 14:04:27:000767","1703264667767"
"7","7","Numpad7","keydown","1","2023-12-22 14:04:28:000087","1703264668087"
"8","7","Numpad7","keyup","1","2023-12-22 14:04:28:000184","1703264668184"
"9","4","Numpad4","keydown","1","2023-12-22 14:04:28:000784","1703264668784"
"10","4","Numpad4","keyup","1","2023-12-22 14:04:28:000896","1703264668896"
"11","1","Numpad1","keydown","1","2023-12-22 14:04:29:000216","1703264669216"
"12","1","Numpad1","keyup","1","2023-12-22 14:04:29:000327","1703264669327"
"13","6","Numpad6","keydown","1","2023-12-22 14:04:29:000800","1703264669800"
"14","6","Numpad6","keyup","1","2023-12-22 14:04:29:000904","1703264669904"
"15","2","Numpad2","keydown","1","2023-12-22 14:04:30:000160","1703264670160"
"16","2","Numpad2","keyup","1","2023-12-22 14:04:30:000271","1703264670271"
"17","4","Numpad4","keydown","1","2023-12-22 14:04:31:000504","1703264671504"
"18","4","Numpad4","keyup","1","2023-12-22 14:04:31:000600","1703264671600"
"19","1","Numpad1","keydown","1","2023-12-22 14:04:31:000872","1703264671872"
"20","1","Numpad1","keyup","1","2023-12-22 14:04:31:000984","1703264671984"
"21","9","Numpad9","keydown","1","2023-12-22 14:04:32:000664","1703264672664"
"22","9","Numpad9","keyup","1","2023-12-22 14:04:32:000760","1703264672760"
"23","4","Numpad4","keydown","1","2023-12-22 14:04:33:000095","1703264673095"
"24","4","Numpad4","keyup","1","2023-12-22 14:04:33:000215","1703264673215"
"25","4","Numpad4","keydown","1","2023-12-22 14:04:34:000111","1703264674111"
"26","4","Numpad4","keyup","1","2023-12-22 14:04:34:000208","1703264674208"
"27","7","Numpad7","keydown","1","2023-12-22 14:04:34:000568","1703264674568"
"28","7","Numpad7","keyup","1","2023-12-22 14:04:34:000679","1703264674680"
"29","3","Numpad3","keydown","1","2023-12-22 14:04:35:000136","1703264675136"
"30","3","Numpad3","keyup","1","2023-12-22 14:04:35:000239","1703264675239"
"31","5","Numpad5","keydown","1","2023-12-22 14:04:35:000696","1703264675696"
"32","5","Numpad5","keyup","1","2023-12-22 14:04:35:000815","1703264675815"
"33","0","Digit0","keydown","2","2023-12-22 14:04:38:000456","1703264678456"
"34","0","Digit0","keyup","2","2023-12-22 14:04:38:000560","1703264678560"
"35","2","Digit2","keydown","2","2023-12-22 14:04:38:000840","1703264678840"
"36","2","Digit2","keyup","2","2023-12-22 14:04:38:000967","1703264678967"
"37","2","Numpad2","keydown","3","2023-12-22 14:04:42:000911","1703264682911"
"38","2","Numpad2","keyup","3","2023-12-22 14:04:43:000007","1703264683007"
"39","0","Numpad0","keydown","3","2023-12-22 14:04:43:000177","1703264683177"
"40","0","Numpad0","keyup","3","2023-12-22 14:04:43:000271","1703264683271"
"41","1","Numpad1","keydown","3","2023-12-22 14:04:43:000936","1703264683936"
"42","1","Numpad1","keyup","3","2023-12-22 14:04:44:000015","1703264684015"
"43","6","Numpad6","keydown","3","2023-12-22 14:04:44:000135","1703264684135"
"44","6","Numpad6","keyup","3","2023-12-22 14:04:44:000207","1703264684207"
"45","7","Numpad7","keydown","4","2023-12-22 14:04:47:000191","1703264687192"
"46","7","Numpad7","keyup","4","2023-12-22 14:04:47:000296","1703264687296"
"47","5","Numpad5","keydown","4","2023-12-22 14:04:47:000431","1703264687431"
"48","5","Numpad5","keyup","4","2023-12-22 14:04:47:000550","1703264687550"
"49","3","Numpad3","keydown","4","2023-12-22 14:04:47:000744","1703264687744"
"50","3","Numpad3","keyup","4","2023-12-22 14:04:47:000840","1703264687840"
"51","CapsLock","CapsLock","keydown","5","2023-12-22 14:04:49:000954","1703264689954"
"52","CapsLock","CapsLock","keyup","5","2023-12-22 14:04:50:000104","1703264690104"
"53","L","KeyL","keydown","5","2023-12-22 14:04:50:000136","1703264690136"
"54","L","KeyL","keyup","5","2023-12-22 14:04:50:000248","1703264690248"
"55","CapsLock","CapsLock","keydown","5","2023-12-22 14:04:50:000282","1703264690282"
"56","CapsLock","CapsLock","keyup","5","2023-12-22 14:04:50:000400","1703264690400"
"57","u","KeyU","keydown","5","2023-12-22 14:04:50:000496","1703264690496"
"58","u","KeyU","keyup","5","2023-12-22 14:04:50:000639","1703264690639"
"59","c","KeyC","keydown","5","2023-12-22 14:04:50:000882","1703264690882"
"60","a","KeyA","keydown","5","2023-12-22 14:04:51:000096","1703264691096"
"61","s","KeyS","keydown","5","2023-12-22 14:04:51:000119","1703264691119"
"62","c","KeyC","keyup","5","2023-12-22 14:04:51:000159","1703264691159"
"63","a","KeyA","keyup","5","2023-12-22 14:04:51:000207","1703264691207"
"64","s","KeyS","keyup","5","2023-12-22 14:04:51:000288","1703264691288"
"65"," ","Space","keydown","5","2023-12-22 14:04:51:000568","1703264691568"
"66"," ","Space","keyup","5","2023-12-22 14:04:51:000696","1703264691696"
"67","CapsLock","CapsLock","keydown","5","2023-12-22 14:04:51:000753","1703264691753"
"68","CapsLock","CapsLock","keyup","5","2023-12-22 14:04:51:000887","1703264691887"
"69","R","KeyR","keydown","5","2023-12-22 14:04:51:000976","1703264691976"
"70","R","KeyR","keyup","5","2023-12-22 14:04:52:000143","1703264692143"
"71"," ","Space","keydown","5","2023-12-22 14:04:52:000304","1703264692304"
"72"," ","Space","keyup","5","2023-12-22 14:04:52:000440","1703264692440"
"73","A","KeyA","keydown","5","2023-12-22 14:04:52:000486","1703264692486"
