"id_beh","input_order","numbers","uppercase","naStartTs","naStartE","naFinishTs","naFinishE","cnStartTs","cnStartE","cnFinishTs","cnFinishE","scStartTs","scStartE","scFinishTs","scFinishE","mStartTs","mStartE","mFinishTs","mFinishE","yStartTs","yStartE","yFinishTs","yFinishE","StartTs","StartE","FinishTs","FinishE"
"1","1-2-3-4-5","Mixed","CapsLock","2023-12-22 14:04:49:000164","1703264689165","2023-12-22 14:04:55:000753","1703264695753","2023-12-22 14:04:23:000459","1703264663459","2023-12-22 14:04:37:000345","1703264677345","2023-12-22 14:04:45:000360","1703264685360","2023-12-22 14:04:49:000164","1703264689164","2023-12-22 14:04:37:000345","1703264677345","2023-12-22 14:04:41:000846","1703264681846","2023-12-22 14:04:41:000846","1703264681846","2023-12-22 14:04:45:000359","1703264685359","2023-12-22 14:04:23:000459","1703264663459","2023-12-22 14:04:55:000753","1703264695753"
"2","1-2-3-4-5","Numpad","Mixed","2023-12-23 07:44:47:000504","1703328287504","2023-12-23 07:44:58:000553","1703328298553","2023-12-23 07:44:24:000022","1703328264022","2023-12-23 07:44:36:000818","1703328276818","2023-12-23 07:44:43:000818","1703328283818","2023-12-23 07:44:47:000504","1703328287504","2023-12-23 07:44:36:000818","1703328276818","2023-12-23 07:44:40:000116","1703328280116","2023-12-23 07:44:40:000116","1703328280116","2023-12-23 07:44:43:000817","1703328283817","2023-12-23 07:44:24:000022","1703328264022","2023-12-23 07:44:58:000553","1703328298553"
"3","1-2-3-4-5","Numpad","CapsLock","2023-12-23 07:58:50:000595","1703329130595","2023-12-23 07:59:01:000624","1703329141624","2023-12-23 07:58:26:000047","1703329106047","2023-12-23 07:58:39:000887","1703329119887","2023-12-23 07:58:47:000415","1703329127415","2023-12-23 07:58:50:000594","1703329130594","2023-12-23 07:58:39:000887","1703329119887","2023-12-23 07:58:43:000032","1703329123032","2023-12-23 07:58:43:000032","1703329123032","2023-12-23 07:58:47:000415","1703329127415","2023-12-23 07:58:26:000047","1703329106047","2023-12-23 07:59:01:000624","1703329141624"
"4","1-2-3-4-5","Numpad","Mixed","2023-12-23 17:45:44:000321","1703364344321","2023-12-23 17:45:59:000879","1703364359879","2023-12-23 17:45:20:000899","1703364320899","2023-12-23 17:45:31:000546","1703364331546","2023-12-23 17:45:41:000211","1703364341211","2023-12-23 17:45:44:000321","1703364344321","2023-12-23 17:45:31:000547","1703364331547","2023-12-23 17:45:36:000492","1703364336492","2023-12-23 17:45:36:000492","1703364336492","2023-12-23 17:45:41:000211","1703364341211","2023-12-23 17:45:20:000899","1703364320899","2023-12-23 17:46:06:000504","1703364366504"
"5","1-2-3-4-5","Mixed","CapsLock","2023-12-23 18:11:35:000975","1703365895975","2023-12-23 18:11:44:000601","1703365904601","2023-12-23 18:11:12:000379","1703365872379","2023-12-23 18:11:26:000588","1703365886588","2023-12-23 18:11:33:000026","1703365893026","2023-12-23 18:11:35:000975","1703365895975","2023-12-23 18:11:26:000588","1703365886588","2023-12-23 18:11:28:000801","1703365888802","2023-12-23 18:11:28:000802","1703365888802","2023-12-23 18:11:33:000025","1703365893025","2023-12-23 18:11:12:000379","1703365872379","2023-12-23 18:11:44:000601","1703365904601"
"6","1-2-3-4-5","Numpad","CapsLock","2023-12-23 19:58:56:000663","1703372336663","2023-12-23 19:59:04:000129","1703372344129","2023-12-23 19:58:34:000000","1703372314000","2023-12-23 19:58:46:000219","1703372326219","2023-12-23 19:58:52:000886","1703372332886","2023-12-23 19:58:56:000663","1703372336663","2023-12-23 19:58:46:000219","1703372326219","2023-12-23 19:58:48:000432","1703372328432","2023-12-23 19:58:48:000432","1703372328432","2023-12-23 19:58:52:000885","1703372332885","2023-12-23 19:58:34:000000","1703372314000","2023-12-23 19:59:04:000129","1703372344129"
"7","1-2-3-4-5","Numpad","CapsLock","2023-12-23 20:51:27:000920","1703375487920","2023-12-23 20:51:34:000712","1703375494712","2023-12-23 20:51:08:000414","1703375468414","2023-12-23 20:51:19:000095","1703375479095","2023-12-23 20:51:24:000586","1703375484586","2023-12-23 20:51:27:000920","1703375487920","2023-12-23 20:51:19:000096","1703375479096","2023-12-23 20:51:21:000599","1703375481599","2023-12-23 20:51:21:000599","1703375481599","2023-12-23 20:51:24:000586","1703375484586","2023-12-23 20:51:08:000414","1703375468414","2023-12-23 20:51:34:000712","1703375494712"
"8","1-2-3-4-5","Numpad","Mixed","2023-12-24 09:00:55:000880","1703419255880","2023-12-24 09:01:10:000083","1703419270083","2023-12-24 09:00:33:000149","1703419233150","2023-12-24 09:00:45:000889","1703419245889","2023-12-24 09:00:52:000181","1703419252181","2023-12-24 09:00:55:000879","1703419255879","2023-12-24 09:00:45:000889","1703419245889","2023-12-24 09:00:48:000902","1703419248902","2023-12-24 09:00:48:000902","1703419248902","2023-12-24 09:00:52:000181","1703419252181","2023-12-24 09:00:33:000150","1703419233150","2023-12-24 09:01:10:000083","1703419270083"
"9","1-2-3-4-5","Numpad","Mixed","2023-12-24 10:19:11:000248","1703423951248","2023-12-24 10:19:21:000756","1703423961756","2023-12-24 10:18:42:000320","1703423922320","2023-12-24 10:18:57:000261","1703423937261","2023-12-24 10:19:06:000912","1703423946912","2023-12-24 10:19:11:000247","1703423951247","2023-12-24 10:18:57:000261","1703423937261","2023-12-24 10:19:01:000213","1703423941213","2023-12-24 10:19:01:000213","1703423941213","2023-12-24 10:19:06:000390","1703423946390","2023-12-24 10:18:42:000320","1703423922320","2023-12-24 10:19:21:000756","1703423961756"
"10","1-2-3-4-5","Numpad","CapsLock","2023-12-24 10:54:42:000371","1703426082371","2023-12-24 10:54:50:000229","1703426090229","2023-12-24 10:54:19:000968","1703426059968","2023-12-24 10:54:32:000166","1703426072166","2023-12-24 10:54:39:000548","1703426079548","2023-12-24 10:54:42:000371","1703426082371","2023-12-24 10:54:32:000167","1703426072167","2023-12-24 10:54:35:000061","1703426075061","2023-12-24 10:54:35:000061","1703426075061","2023-12-24 10:54:39:000547","1703426079547","2023-12-24 10:54:19:000968","1703426059968","2023-12-24 10:54:50:000229","1703426090229"
